CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,451.14285714285717,61.704615644510206,1.0,1360.0,260.0,24.0,5.524559755659558,0.022714185953859
2.0,1170.3333333333333,231.30413840751842,2.0,1490.0,130.0,70.0,138.3845428154083,0.04723466712861862
3.0,2690.0,515.3895711013174,,,,100.0,nan,nan
4.0,3230.0,360.0,,,,160.0,84.96524510874637,0.03926214727870988
5.0,3130.0,195.0,,,,250.0,30.31456047428557,0.01079737858123003
6.0,3390.0,185.0,,,,350.0,11.189445495158084,0.004689026622585091
7.0,2890.0,140.0,,,,500.0,3.6274302718828135,0.0030675651152129208
8.0,3560.0,535.0,,,,,,
9.0,2310.0,275.0,,,,,,
10.0,2080.0,290.0,,,,,,
11.0,1050.0,175.5,,,,,,
12.0,nan,1290.0,,,,,,
13.0,nan,1060.0,,,,,,
