CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1465.0,85.04006408746409,1.0,4040.0,215.0,24.0,nan,nan
2.0,2970.0,210.0,2.0,9500.0,150.0,70.0,93.17411253114544,0.0025876564913609222
3.0,11800.0,1360.0,,,,100.0,nan,nan
4.0,4230.0,265.0,,,,160.0,110.04199640797842,0.006866441691413346
5.0,3900.0,190.0,,,,250.0,41.68118995810008,0.042259094472690883
6.0,2610.0,115.0,,,,350.0,18.68283735807658,0.021222583787679765
7.0,1550.0,130.0,,,,500.0,9.315078977626971,0.008322198140164777
8.0,1280.0,235.0,,,,,,
9.0,nan,1740.0,,,,,,
10.0,nan,970.0,,,,,,
11.0,nan,735.0,,,,,,
12.0,nan,760.0,,,,,,
13.0,nan,1670.0,,,,,,
