CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,126.0,13.0,1.0,1334.9067589434376,55.44518388964573,24.0,2.4399596328534052,0.02187002640477748
2.0,644.33989290115,66.1998959800383,2.0,1586.0,34.0,70.0,49.83959650540996,0.030715184562599654
3.0,1865.4374008128323,240.7854701849267,,,,100.0,54.5636961380394,0.030261847426392218
4.0,1844.47397731134,362.187617362955,,,,160.0,34.87045232670682,0.029116816271503112
5.0,2430.82683942244,107.321273263684,,,,250.0,11.963241773369129,0.038634111868074306
6.0,2298.61015319534,49.1920460800559,,,,350.0,4.1076138671440034,0.019305389481194053
7.0,1985.74471268168,34.5013560118439,,,,500.0,1.1988543645199516,0.009184952995908331
8.0,1707.49776561216,40.2553500733713,,,,,,
9.0,1183.93089559724,53.6794864502526,,,,,,
10.0,942.192786453955,42.948958926676,,,,,,
11.0,641.878700475518,36.6090513579193,,,,,,
12.0,400.52064387313,33.563182447469,,,,,,
13.0,272.679984817122,37.1836342932439,,,,,,
