CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,50.3,5.422147291433532,1.0,nan,nan,24.0,1.1197071510782803,0.008456069852599127
2.0,nan,nan,2.0,292.0,52.5,70.0,5.749609057109871,0.012816510293055878
3.0,nan,nan,,,,100.0,6.0550602994261595,0.00874975325338386
4.0,nan,nan,,,,160.0,4.272026405228304,0.011701872487664135
5.0,nan,nan,,,,250.0,1.555140184960936,0.017838050165197156
6.0,nan,nan,,,,350.0,0.5405001537420694,0.010388759053598321
7.0,370.0,52.0,,,,500.0,0.1518885957438584,0.004195949356195119
8.0,223.0,68.5,,,,,,
9.0,296.0,75.5,,,,,,
10.0,185.0,51.5,,,,,,
11.0,nan,232.0,,,,,,
12.0,nan,149.0,,,,,,
13.0,103.0,43.45,,,,,,
