CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,594.0,105.0,24.0,nan,nan
2.0,nan,nan,2.0,1080.0,50.0,70.0,39.56645044331052,0.006896530946321691
3.0,3380.0,415.9929386419918,,,,100.0,46.986750107598,0.008121227759738033
4.0,909.0,101.0,,,,160.0,30.265233415421267,0.008644439396881205
5.0,1070.0,107.0,,,,250.0,9.514284452507695,0.005280003222714931
6.0,614.0,60.0,,,,350.0,3.2447507151988586,0.004743700914311294
7.0,372.0,50.5,,,,500.0,1.0203875273271046,0.0021138031534687937
8.0,nan,280.0,,,,,,
9.0,nan,626.0,,,,,,
10.0,nan,nan,,,,,,
11.0,nan,nan,,,,,,
12.0,nan,622.0,,,,,,
13.0,nan,405.0,,,,,,
