CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,505.75,107.60481155018117,1.0,1340.0,235.0,24.0,12.419558608965648,0.005784661945338781
2.0,1710.0,197.62668229658556,2.0,2340.0,95.0,70.0,115.17359294420433,0.04472639162417967
3.0,4815.0,1100.8457686024867,,,,100.0,103.424960514642,0.03331003841674472
4.0,5130.0,280.0,,,,160.0,58.79765987793789,0.05271317512809561
5.0,4850.0,180.0,,,,250.0,16.952689648872138,0.012160075406424274
6.0,4710.0,100.0,,,,350.0,5.606089927932876,0.00916672203131078
7.0,3970.0,100.0,,,,500.0,1.626293964145663,0.0033230786502565293
8.0,3700.0,115.0,,,,,,
9.0,3170.0,170.0,,,,,,
10.0,2880.0,145.0,,,,,,
11.0,2220.0,130.0,,,,,,
12.0,1800.0,130.0,,,,,,
13.0,1560.0,155.0,,,,,,
