CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,410.3333333333333,75.338462214787,1.0,2090.0,415.0,24.0,13.212032052108558,0.005784661945338781
2.0,1685.0,83.6211695684771,2.0,2070.0,105.0,70.0,91.75915487005638,0.04472639162417967
3.0,5352.5,692.820785358667,,,,100.0,81.03220224111088,0.03331003841674472
4.0,5910.0,465.0,,,,160.0,47.106228421677685,0.05271317512809561
5.0,5220.0,305.0,,,,250.0,14.193066760508012,0.012160075406424274
6.0,4510.0,165.0,,,,350.0,4.724864442641407,0.00916672203131078
7.0,3130.0,110.0,,,,500.0,1.3946612242893,0.0033230786502565293
8.0,2620.0,140.0,,,,,,
9.0,1660.0,215.0,,,,,,
10.0,1600.0,210.0,,,,,,
11.0,1350.0,165.0,,,,,,
12.0,1110.0,144.5,,,,,,
13.0,1020.0,196.0,,,,,,
