CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,404.0,76.68661696947012,1.0,2010.0,415.0,24.0,12.725095118531778,0.005784661945338781
2.0,1430.0,136.96943089609448,2.0,1990.0,100.0,70.0,92.1014103109589,0.04472639162417967
3.0,5162.5,734.7484794982566,,,,100.0,81.25332561470827,0.03331003841674472
4.0,5710.0,435.0,,,,160.0,47.575922775251904,0.05271317512809561
5.0,5650.0,275.0,,,,250.0,14.527635196595238,0.012160075406424274
6.0,4220.0,160.0,,,,350.0,4.818663183884106,0.00916672203131078
7.0,3030.0,100.0,,,,500.0,1.4078236092362872,0.0033230786502565293
8.0,2720.0,145.0,,,,,,
9.0,1680.0,175.0,,,,,,
10.0,1390.0,150.0,,,,,,
11.0,1140.0,152.5,,,,,,
12.0,774.0,140.5,,,,,,
13.0,499.0,172.0,,,,,,
