CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,68.05,6.953068117744855,1.0,728.0,233.0,24.0,0.7334708043542937,0.03378980613944971
2.0,586.0,46.4,2.0,408.0,51.5,70.0,8.619346711369543,0.025683848768352256
3.0,730.0,88.48979853318939,,,,100.0,11.595055282902935,0.041231813068240725
4.0,nan,nan,,,,160.0,9.406648662346658,0.02847103210738298
5.0,764.0,181.5,,,,250.0,3.542216878505058,0.007792854621253957
6.0,569.0,73.5,,,,350.0,1.2974591056063713,0.007382047365914589
7.0,338.0,50.5,,,,500.0,0.3776510550132477,0.006604059589028519
8.0,242.0,53.5,,,,,,
9.0,nan,223.0,,,,,,
10.0,nan,205.0,,,,,,
11.0,nan,nan,,,,,,
12.0,110.0,37.65,,,,,,
13.0,nan,nan,,,,,,
