CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,88.26790831941925,5.211840488707998,1.0,437.9037045970933,82.27737266503324,24.0,1.2309211131941191,0.03432562630889661
2.0,269.0,44.0,2.0,321.0,23.0,70.0,11.526699764289914,0.016591812490530575
3.0,509.0,83.8,,,,100.0,11.047050975427359,0.02086140112668996
4.0,nan,nan,,,,160.0,6.670394098870664,0.01857160494970686
5.0,628.11572264358,69.7906358492867,,,,250.0,2.0257611897653924,0.021433218359262037
6.0,487.670720547401,26.8442598466459,,,,350.0,0.684997768983549,0.012728559992016168
7.0,410.369820922861,23.0113918274501,,,,500.0,0.1939013594804484,0.013453536990060163
8.0,459.791470847909,26.8491369838195,,,,,,
9.0,226.750065632216,38.7861954370897,,,,,,
10.0,161.132034544739,26.8553390907898,,,,,,
11.0,256.38020899413,24.4171627613457,,,,,,
