CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,2984.4187750402,299.603448211515,1.0,9717.037270904519,472.6686159661283,24.0,613.1913452148438,0.05206415785961746
2.0,11500.0,1164.55927732769,2.0,15015.0793149891,62.7942837661539,70.0,346.8358781150795,0.04762927101275059
3.0,20478.11729743303,2081.7564568060247,,,,100.0,364.01468961530105,0.046302202751437475
4.0,28034.2302460216,385.237253913076,,,,160.0,231.13748500153773,0.06071406149368534
5.0,26876.3501594568,186.278181340023,,,,250.0,69.2004558932579,0.1608336508943064
6.0,19099.628284043,78.0082021632134,,,,350.0,24.37297835603916,0.0891313450863318
7.0,14150.4883659633,58.2507158282324,,,,500.0,6.598037256111804,0.031701285287367355
8.0,9620.61621005885,81.4957976233473,,,,,,
9.0,5350.94382521611,99.7017573245614,,,,,,
10.0,3972.99480109859,95.16354169994,,,,,,
11.0,2757.33266080367,98.923165031036,,,,,,
12.0,1617.7161121601,72.5717340024849,,,,,,
13.0,2191.79370188838,85.6325626971365,,,,,,
