CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,156.0,15.655669899432603,1.0,820.0,250.0,24.0,0.5743543567021121,0.019252135855934705
2.0,nan,nan,2.0,429.0,34.0,70.0,9.36117782969481,0.013761486015423364
3.0,nan,nan,,,,100.0,12.91659095488051,0.024001081100902457
4.0,nan,nan,,,,160.0,10.607673074805,0.020559458978718064
5.0,1090.0,145.0,,,,250.0,4.244045448415558,0.017329010503915394
6.0,551.0,72.5,,,,350.0,1.5589542303342643,0.007078385810546009
7.0,288.0,33.5,,,,500.0,0.4690627473267667,0.0019160692518954761
8.0,162.0,35.5,,,,,,
9.0,nan,234.0,,,,,,
10.0,nan,175.0,,,,,,
11.0,nan,150.0,,,,,,
12.0,nan,120.0,,,,,,
13.0,nan,nan,,,,,,
