CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,1200.0,643.0,24.0,1.8892367540991701,0.014902572635162054
2.0,nan,nan,2.0,1000.0,128.5,70.0,17.36558981407944,0.02653783219845961
3.0,nan,nan,,,,100.0,22.012124604584027,0.020760662107085638
4.0,1880.0,770.0,,,,160.0,16.51270658633234,0.0196271551464681
5.0,1490.0,385.0,,,,250.0,6.108142316548097,0.013044660110234002
6.0,1150.0,181.5,,,,350.0,2.148279597126925,0.009158190453956315
7.0,661.0,122.5,,,,500.0,0.6060876730401845,0.0064570810440364975
8.0,nan,771.0,,,,,,
9.0,nan,533.0,,,,,,
10.0,nan,538.0,,,,,,
11.0,nan,378.0,,,,,,
12.0,362.0,118.0,,,,,,
13.0,nan,439.0,,,,,,
