CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,398.0,79.6,1.0,1705.8461001631213,117.30627986400468,24.0,2.817831209732144,0.005944446275244025
2.0,1700.0,259.0,2.0,1183.0,19.0,70.0,26.312440719585872,0.031772623299107156
3.0,2950.0,457.0,,,,100.0,29.661230128908514,0.024785931471215907
4.0,2967.01526078228,146.027596727539,,,,160.0,21.52436712893822,0.29460704313188835
5.0,2410.92717475509,53.1041227919623,,,,250.0,7.690465833913596,0.006778647424765949
6.0,1380.79502668846,26.5537505132396,,,,350.0,2.785058681596787,0.0071920505644039985
7.0,1054.65610133477,18.9686349160929,,,,500.0,0.8177752044373244,0.002402900649383256
8.0,833.275286543045,29.8783967286351,,,,,,
9.0,333.492989692284,26.5613885595624,,,,,,
10.0,175.32708505945,23.9082388717432,,,,,,
11.0,nan,nan,,,,,,
12.0,130.646056348855,17.7147195049295,,,,,,
13.0,149.236346527814,20.4433351407965,,,,,,
