CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,136.5,11.294827355918283,1.0,321.0,92.5,24.0,1.992781755502565,0.028341286284590133
2.0,462.0,57.5,2.0,550.0,35.0,70.0,16.65902056242709,0.01641811854804661
3.0,nan,nan,,,,100.0,19.521680609550533,0.016614087282666237
4.0,613.0,106.5,,,,160.0,14.151243592896112,0.013702990080501009
5.0,649.0,64.0,,,,250.0,4.895117832823276,0.019479429537488643
6.0,728.0,46.5,,,,350.0,1.6685729929364996,0.010733256332548116
7.0,540.0,37.5,,,,500.0,0.4932826440894512,0.003884930564829708
8.0,374.0,48.0,,,,,,
9.0,152.0,52.4,,,,,,
10.0,153.0,38.0,,,,,,
11.0,nan,123.0,,,,,,
12.0,nan,129.0,,,,,,
13.0,nan,136.0,,,,,,
