CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,24.5,2.45,1.0,1010.0,230.5,24.0,0.436806996205308,0.025103418710413165
2.0,nan,nan,2.0,168.0,47.0,70.0,6.704003672194697,0.023524683576035346
3.0,nan,nan,,,,100.0,6.281714968361317,0.01949281469491795
4.0,nan,nan,,,,160.0,3.7514548896051765,0.02642034877320747
5.0,425.0,184.0,,,,250.0,1.3275036372167281,0.024484140312165496
6.0,273.0,91.0,,,,350.0,0.47595283173132535,0.005860711183676293
7.0,411.0,46.0,,,,500.0,0.13866999630492607,0.004749989731701884
8.0,234.0,51.0,,,,,,
9.0,nan,464.0,,,,,,
10.0,123.0,64.6,,,,,,
11.0,140.0,64.45,,,,,,
12.0,131.0,48.95,,,,,,
13.0,110.0,49.2,,,,,,
