CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,54.42,17.241291279947685,1.0,nan,772.0,24.0,2.998617859502032,0.015286025458167112
2.0,130.0,14.6990645960891,2.0,211.0,49.0,70.0,13.422250772346894,0.01910605372657454
3.0,256.0,26.31805463935357,,,,100.0,11.115310903291425,0.024743224710627242
4.0,nan,nan,,,,160.0,6.078699004546649,0.01874267179128993
5.0,nan,599.0,,,,250.0,1.9563586193859175,0.009721744696864083
6.0,375.0,73.0,,,,350.0,0.6877376077469876,0.004561045566395417
7.0,298.0,52.5,,,,500.0,0.20450851103400647,0.004531841495350341
8.0,388.0,51.5,,,,,,
9.0,227.0,40.5,,,,,,
10.0,259.0,34.0,,,,,,
11.0,162.0,30.0,,,,,,
12.0,146.0,26.5,,,,,,
13.0,140.0,25.5,,,,,,
