CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,752.0,75.7,1.0,3370.8561695509766,165.918696921775,24.0,3.298454175363707,0.04817391375469764
2.0,1910.0,193.0,2.0,2423.0,30.0,70.0,45.05979450615486,0.029163274169629078
3.0,3047.9705690063274,341.64308317914816,,,,100.0,57.92628763958281,0.042407930902628475
4.0,3683.67778728383,218.635552122961,,,,160.0,44.22195327526803,0.09623392030220522
5.0,3466.57478965026,90.1097422386154,,,,250.0,16.070042619419294,0.034363786961921806
6.0,2919.91807393839,35.3394018025826,,,,350.0,5.8542816712433625,0.015108007276248631
7.0,2033.4567791018,30.2935833013304,,,,500.0,1.7034620644590215,0.009893965301923815
8.0,1242.62656734185,43.0777210011842,,,,,,
9.0,813.040040889001,53.0243504927609,,,,,,
10.0,434.854042405235,39.7732355858447,,,,,,
11.0,233.849236125176,36.1622530090479,,,,,,
12.0,185.659922954362,30.9433204923937,,,,,,
