CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,6040.0,570.7078694237729,1.0,16700.0,800.0,24.0,nan,0.15358393297765693
2.0,25850.0,5465.551207334902,2.0,33200.0,700.0,70.0,1480.1496219068492,0.022382632425012865
3.0,72100.0,10987.89134684176,,,,100.0,nan,nan
4.0,55200.0,1100.0,,,,160.0,818.4232952949585,0.042578152598777126
5.0,63000.0,850.0,,,,250.0,221.72082757133833,0.03512839261946999
6.0,62800.0,450.0,,,,350.0,73.3125834307258,0.018206815128180565
7.0,56800.0,750.0,,,,500.0,21.454235040979924,0.008494986644743106
8.0,51300.0,1350.0,,,,,,
9.0,40300.0,1300.0,,,,,,
10.0,29500.0,900.0,,,,,,
11.0,19500.0,950.0,,,,,,
12.0,14000.0,850.0,,,,,,
13.0,8590.0,2395.0,,,,,,
