CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,287.0,28.8,1.0,438.0,127.5,24.0,2.9090799610698777,0.01565832982374862
2.0,1240.0,94.0,2.0,631.0,35.0,70.0,25.01364524418202,0.019373865865298198
3.0,1700.0,131.5,,,,100.0,28.238749034957294,0.031075434450431462
4.0,1220.0,135.0,,,,160.0,19.680224040650085,0.04495697216854514
5.0,1210.0,70.0,,,,250.0,6.5677927813423915,0.21339690286763938
6.0,947.0,32.5,,,,350.0,2.262167738596824,0.11570057001157483
7.0,653.0,37.0,,,,500.0,0.6251461951512858,0.05397010135932545
8.0,516.0,62.5,,,,,,
9.0,462.0,59.0,,,,,,
10.0,268.0,54.5,,,,,,
11.0,293.0,54.5,,,,,,
12.0,nan,193.0,,,,,,
13.0,nan,257.0,,,,,,
