CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,100.0,20.2,1.0,138.16989114441517,154.11259752688463,24.0,nan,nan
2.0,246.0,44.7,2.0,365.0,30.0,70.0,10.338039563207479,0.016530288322438066
3.0,517.0,99.0,,,,100.0,12.64026208615034,0.02829059962354386
4.0,nan,nan,,,,160.0,9.536849131141,0.021878066541144804
5.0,nan,nan,,,,250.0,3.617521449728031,0.008655417524799347
6.0,577.585788824861,52.9086218770864,,,,350.0,1.298882013214545,0.006908981805958673
7.0,306.141126376001,26.4566405510124,,,,500.0,0.3908586552980049,0.004283539401836303
8.0,267.89856194112,59.5330137646934,,,,,,
9.0,311.662617827694,47.0434140117275,,,,,,
10.0,nan,nan,,,,,,
11.0,264.687177660069,40.9062001838289,,,,,,
