CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,59.4,11.9,1.0,891.508555052668,90.36600721481602,24.0,2.014322589137222,0.035580761853393886
2.0,577.0,88.9,2.0,895.0,15.0,70.0,20.91540655414841,0.015097981117444955
3.0,1490.0,229.0,,,,100.0,23.68518226437376,0.019885278329116688
4.0,1530.89980149222,112.663621754839,,,,160.0,16.82652923796285,0.012441680782081032
5.0,1224.7931507296,47.7192136647897,,,,250.0,5.85690297384159,0.02872223383787656
6.0,1113.51915119003,22.0936339521832,,,,350.0,2.088373350720976,0.014108236510089819
7.0,810.592118564269,15.1512545526031,,,,500.0,0.593833366615732,0.0056162931437835255
8.0,619.839025920194,19.8878831846051,,,,,,
9.0,500.93308557521,23.5733216741275,,,,,,
10.0,249.319048240997,21.2186424034891,,,,,,
11.0,202.568284674683,21.7037447865732,,,,,,
12.0,139.285969816652,15.4762188685169,,,,,,
13.0,112.263083766889,18.3703227982183,,,,,,
