CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,175.0,35.0,1.0,620.6622607657322,97.70702843211396,24.0,0.879328918660284,0.02764855754893812
2.0,471.0,118.0,2.0,845.0,30.0,70.0,12.019465191112763,0.023804211901466053
3.0,1395.4340059709361,159.58954260209958,,,,100.0,16.481076571217088,0.014273434985315749
4.0,1696.85697536577,232.901937795302,,,,160.0,13.347689988874766,0.024708487079168936
5.0,1128.64380169774,111.799621866285,,,,250.0,5.270842016052376,0.003898015445406081
6.0,878.481481682983,44.3677516001506,,,,350.0,1.9315186059861595,0.00835890838936034
7.0,665.574880518755,26.6229952207502,,,,500.0,0.5580866703435771,0.004128156553963377
8.0,479.258774485223,56.5791608767278,,,,,,
9.0,nan,nan,,,,,,
10.0,284.958525697969,42.6106206651169,,,,,,
