CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,2022.0,140.39768516610235,1.0,4160.0,290.0,24.0,8.727872732436525,0.0060051285285402135
2.0,4220.0,1243.0998552006995,2.0,4780.0,105.0,70.0,105.55652356953439,0.006808749882407717
3.0,12100.0,600.0,,,,100.0,148.12853734847127,0.01284592515633384
4.0,9100.0,410.0,,,,160.0,124.82230024782106,0.007999300712530393
5.0,8370.0,220.0,,,,250.0,50.0140703482092,0.0603856567311468
6.0,6080.0,110.0,,,,350.0,19.14683389767237,0.023605074120193394
7.0,3800.0,105.0,,,,500.0,5.865476258358859,0.009337630233143771
8.0,2980.0,255.0,,,,,,
9.0,1620.0,240.0,,,,,,
10.0,nan,1080.0,,,,,,
11.0,680.0,138.5,,,,,,
12.0,nan,781.0,,,,,,
13.0,nan,946.0,,,,,,
