CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1852.0,148.96442561900474,1.0,3710.0,265.0,24.0,7.015104991655893,0.0060051285285402135
2.0,3280.0,962.7939810779874,2.0,4630.0,140.0,70.0,80.52023229360076,0.006808749882407717
3.0,20600.0,1030.0,,,,100.0,112.30214441076843,0.01284592515633384
4.0,7950.0,290.0,,,,160.0,97.09223410885107,0.007999300712530393
5.0,7540.0,200.0,,,,250.0,40.9408776427434,0.0603856567311468
6.0,5860.0,120.0,,,,350.0,15.832948526462632,0.023605074120193394
7.0,3710.0,140.0,,,,500.0,4.8042940408590855,0.009337630233143771
8.0,3560.0,330.0,,,,,,
9.0,1630.0,340.0,,,,,,
10.0,977.0,220.0,,,,,,
11.0,nan,1080.0,,,,,,
12.0,nan,955.0,,,,,,
13.0,nan,nan,,,,,,
