CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1050.0,126.44034056511482,1.0,3270.0,290.0,24.0,12.351779823439553,0.028788112585281914
2.0,5235.0,372.1791403343288,2.0,4110.0,100.0,70.0,157.91699718850953,0.01553487333325231
3.0,5640.0,850.0,,,,100.0,180.63158202683962,0.02111085272809044
4.0,7570.0,400.0,,,,160.0,122.52571634977687,0.02131711191578374
5.0,7430.0,215.0,,,,250.0,37.06538923301308,0.020572235928830954
6.0,6680.0,115.0,,,,350.0,12.956917061903745,0.009018131573613199
7.0,4470.0,120.0,,,,500.0,3.689677661996571,0.00398006225511952
8.0,3430.0,165.0,,,,,,
9.0,2290.0,295.0,,,,,,
10.0,979.0,201.5,,,,,,
11.0,703.0,209.5,,,,,,
12.0,636.0,180.0,,,,,,
13.0,nan,nan,,,,,,
