CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1049.3333333333333,126.8713762481952,1.0,2820.0,320.0,24.0,12.183564051681692,0.028788112585281914
2.0,4750.0,476.0,2.0,3870.0,105.0,70.0,147.50199726320182,0.01553487333325231
3.0,5600.0,845.0,,,,100.0,167.52775260074273,0.02111085272809044
4.0,7450.0,395.0,,,,160.0,113.54286039701675,0.02131711191578374
5.0,6960.0,240.0,,,,250.0,37.61590798539462,0.020572235928830954
6.0,6610.0,150.0,,,,350.0,12.763169761391401,0.009018131573613199
7.0,4670.0,120.0,,,,500.0,3.7951509622074804,0.00398006225511952
8.0,3820.0,230.0,,,,,,
9.0,2240.0,295.0,,,,,,
10.0,1260.0,215.0,,,,,,
11.0,1000.0,251.5,,,,,,
12.0,nan,1010.0,,,,,,
13.0,nan,1970.0,,,,,,
