CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,1029.0,125.59340702795227,1.0,2630.0,315.0,24.0,13.767396385501248,0.028788112585281914
2.0,4510.0,490.7380283817426,2.0,4590.0,95.0,70.0,170.58739306421694,0.01553487333325231
3.0,5070.0,765.0,,,,100.0,193.1292897128083,0.02111085272809044
4.0,7700.0,390.0,,,,160.0,130.18676073274847,0.02131711191578374
5.0,8320.0,200.0,,,,250.0,41.00014551875244,0.020572235928830954
6.0,7530.0,125.0,,,,350.0,13.67474467457028,0.009018131573613199
7.0,5390.0,105.0,,,,500.0,3.988504352029666,0.00398006225511952
8.0,4360.0,195.0,,,,,,
9.0,2900.0,230.0,,,,,,
10.0,1810.0,180.0,,,,,,
11.0,1250.0,205.0,,,,,,
12.0,nan,960.0,,,,,,
13.0,nan,1510.0,,,,,,
