CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,769.5,59.926016887492196,1.0,668.0,347.0,24.0,nan,nan
2.0,nan,nan,2.0,1470.0,115.0,70.0,24.591658539348504,0.008952071996761134
3.0,6600.0,952.9690446179246,,,,100.0,34.1278728353419,0.018922852132994307
4.0,2350.0,415.0,,,,160.0,30.3883598812547,0.021584533122833496
5.0,2050.0,255.0,,,,250.0,12.321903993934509,0.005783725126498733
6.0,1790.0,160.0,,,,350.0,4.74972817183002,0.0039125110056428035
7.0,1310.0,120.0,,,,500.0,1.5250560642805768,0.0026321929305158642
8.0,936.0,172.5,,,,,,
9.0,nan,1040.0,,,,,,
10.0,nan,1270.0,,,,,,
11.0,nan,nan,,,,,,
12.0,nan,1090.0,,,,,,
13.0,nan,1290.0,,,,,,
