CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,194.0,19.45,1.0,1000.0,315.5,24.0,nan,0.004626615378029528
2.0,627.0,48.25,2.0,741.0,86.5,70.0,10.826561167360856,0.014889236503689335
3.0,834.0,137.0,,,,100.0,19.38044693968624,0.008935654193203154
4.0,nan,nan,,,,160.0,20.086688650920237,0.01932864371536751
5.0,761.0,273.5,,,,250.0,8.934571101368869,0.007198021710678507
6.0,498.0,115.5,,,,350.0,3.4544391699357138,0.003469388115270932
7.0,218.0,89.5,,,,500.0,1.0744988502988815,0.002055498635447
8.0,296.0,123.5,,,,,,
9.0,nan,508.0,,,,,,
10.0,nan,nan,,,,,,
11.0,nan,396.0,,,,,,
12.0,nan,nan,,,,,,
13.0,nan,400.0,,,,,,
