CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,256.0,137.83236194740334,1.0,908.0,277.5,24.0,nan,nan
2.0,nan,nan,2.0,712.0,71.0,70.0,15.601637015506785,0.0065572945744451095
3.0,1240.0,192.5,,,,100.0,30.031302372878613,0.007410697028889736
4.0,1590.0,275.0,,,,160.0,32.01337798934003,0.01765743733078848
5.0,665.0,189.0,,,,250.0,14.075750852723075,0.021642478655972464
6.0,374.0,112.5,,,,350.0,5.470082254136044,0.011548352943552545
7.0,nan,250.0,,,,500.0,1.8086067852938024,0.004513684160141181
8.0,nan,nan,,,,,,
9.0,nan,922.0,,,,,,
10.0,nan,nan,,,,,,
11.0,nan,919.0,,,,,,
12.0,nan,1020.0,,,,,,
13.0,nan,nan,,,,,,
