CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,736.5,129.23022334191023,1.0,2190.0,340.0,24.0,nan,nan
2.0,2316.0,980.3148170995887,2.0,1830.0,145.0,70.0,25.244913642883972,0.2051850515450679
3.0,2282.0,746.1360279615388,,,,100.0,51.48632848118383,0.007001912097816831
4.0,2250.0,370.0,,,,160.0,58.39645540601617,0.9814004594658587
5.0,1960.0,330.0,,,,250.0,28.422082234318122,0.01431447070649039
6.0,1260.0,150.0,,,,350.0,11.363637138521135,0.010317857685568683
7.0,778.0,139.5,,,,500.0,3.6829399246965004,0.0029144629383051385
8.0,nan,963.0,,,,,,
9.0,nan,818.0,,,,,,
10.0,nan,1510.0,,,,,,
11.0,nan,968.0,,,,,,
12.0,nan,565.0,,,,,,
13.0,nan,nan,,,,,,
