CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,0.0,3.72,1.0,534.0,209.0,24.0,0.39634459641625525,0.021243257499170644
2.0,nan,nan,2.0,nan,164.0,70.0,nan,nan
3.0,nan,nan,,,,100.0,0.7811874164321294,0.016308472757137944
4.0,nan,nan,,,,160.0,0.6327352298390909,0.014872889877187639
5.0,nan,638.0,,,,250.0,0.298539232779755,0.009731608571381474
6.0,nan,nan,,,,350.0,0.12327406663849032,0.008688027295985654
7.0,nan,138.0,,,,500.0,0.04633311058892411,0.004528877604772092
8.0,nan,153.0,,,,,,
9.0,nan,nan,,,,,,
10.0,nan,766.0,,,,,,
11.0,nan,nan,,,,,,
12.0,482.0,202.5,,,,,,
13.0,nan,347.0,,,,,,
