CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,195.0,15.6,1.0,1120.0,240.0,24.0,0.3407701560419321,0.02137822202729826
2.0,nan,nan,2.0,626.0,55.0,70.0,8.018333427967557,0.022127131625410617
3.0,760.6666666666666,235.00069089732955,,,,100.0,13.218689984155787,0.017851986258296926
4.0,nan,nan,,,,160.0,12.693237347857274,0.018293914331969054
5.0,489.0,167.5,,,,250.0,5.445811833211139,0.0066425678120845275
6.0,408.0,84.5,,,,350.0,2.0680574795428015,0.007364927925413254
7.0,185.0,49.0,,,,500.0,0.7248900488401261,0.004764042291458846
8.0,nan,290.0,,,,,,
9.0,nan,300.0,,,,,,
10.0,nan,277.0,,,,,,
11.0,nan,165.0,,,,,,
12.0,nan,nan,,,,,,
13.0,nan,212.0,,,,,,
