CO,error,beam,ref,CI,error,beam,ref
2984.4187750402,299.603448211515,nan,2013.1.00247.S,4591.75363890864,223.35798215564,13.5,this work
11500,1164.55927732769,nan,2018.1.01321.S,15015.0793149891,62.7942837661539,43.5,Lu et al. 2017
13466.3134471506,1368.95323729265,20.8,this work,,,,
28034.2302460216,385.237253913076,43.5,Lu et al. 2017,,,,
26876.3501594568,186.278181340023,43.5,Lu et al. 2017,,,,
19099.628284043,78.0082021632134,43.5,Lu et al. 2017,,,,
14150.4883659633,58.2507158282324,43.5,Lu et al. 2017,,,,
9620.61621005885,81.4957976233473,43.5,Lu et al. 2017,,,,
5350.94382521611,99.7017573245614,43.5,Lu et al. 2017,,,,
3972.99480109859,95.16354169994,43.5,Lu et al. 2017,,,,
2757.33266080367,98.923165031036,43.5,Lu et al. 2017,,,,
1617.7161121601,72.5717340024849,43.5,Lu et al. 2017,,,,
2191.79370188838,85.6325626971365,43.5,Lu et al. 2017,,,,
