CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1550.0,265.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,3050.0,85.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
3980.0,395.0,43.5,Kamenetzky et al. 2016,,,,
4800.0,180.0,43.5,Kamenetzky et al. 2016,,,,
4780.0,100.0,43.5,Kamenetzky et al. 2016,,,,
3740.0,90.0,43.5,Kamenetzky et al. 2016,,,,
3150.0,145.0,43.5,Kamenetzky et al. 2016,,,,
3130.0,175.0,43.5,Kamenetzky et al. 2016,,,,
2640.0,150.0,43.5,Kamenetzky et al. 2016,,,,
2150.0,135.0,43.5,Kamenetzky et al. 2016,,,,
1430.0,110.0,43.5,Kamenetzky et al. 2016,,,,
986.0,132.5,43.5,Kamenetzky et al. 2016,,,,
