CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,999.0,350.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,291.0,67.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1700.0,355.0,43.5,Kamenetzky et al. 2016,,,,
818.0,221.0,43.5,Kamenetzky et al. 2016,,,,
626.0,92.5,43.5,Kamenetzky et al. 2016,,,,
269.0,68.0,43.5,Kamenetzky et al. 2016,,,,
nan,377.0,43.5,Kamenetzky et al. 2016,,,,
nan,411.0,43.5,Kamenetzky et al. 2016,,,,
nan,244.0,43.5,Kamenetzky et al. 2016,,,,
nan,318.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,225.0,43.5,Kamenetzky et al. 2016,,,,
