CO,error,beam,ref,CI,error,beam,ref
398,79.6,43.5,2,1219.22166961576,83.842474639728,13.5,this work
1700,259,43.5,5,1183,19,43.5,Lu et al. 2017
2950,457,43.5,5,,,,
2967.01526078228,146.027596727539,43.5,Lu et al. 2017,,,,
2410.92717475509,53.1041227919623,43.5,Lu et al. 2017,,,,
1380.79502668846,26.5537505132396,43.5,Lu et al. 2017,,,,
1054.65610133477,18.9686349160929,43.5,Lu et al. 2017,,,,
833.275286543045,29.8783967286351,43.5,Lu et al. 2017,,,,
333.492989692284,26.5613885595624,43.5,Lu et al. 2017,,,,
175.32708505945,23.9082388717432,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
130.646056348855,17.7147195049295,43.5,Lu et al. 2017,,,,
149.236346527814,20.4433351407965,43.5,Lu et al. 2017,,,,
