CO,error,beam,ref,CI,error,beam,ref
136.5,11.294827355918283,43.5,Kamenetzky et al. 2016,321.0,92.5,43.5,Kamenetzky et al. 2016
462.0,57.5,43.5,Kamenetzky et al. 2016,550.0,35.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
613.0,106.5,43.5,Kamenetzky et al. 2016,,,,
649.0,64.0,43.5,Kamenetzky et al. 2016,,,,
728.0,46.5,43.5,Kamenetzky et al. 2016,,,,
540.0,37.5,43.5,Kamenetzky et al. 2016,,,,
374.0,48.0,43.5,Kamenetzky et al. 2016,,,,
152.0,52.4,43.5,Kamenetzky et al. 2016,,,,
153.0,38.0,43.5,Kamenetzky et al. 2016,,,,
nan,123.0,43.5,Kamenetzky et al. 2016,,,,
nan,129.0,43.5,Kamenetzky et al. 2016,,,,
nan,136.0,43.5,Kamenetzky et al. 2016,,,,
