CO,error,beam,ref,CI,error,beam,ref
nan,nan,nan,no,128.513206287384,64.8616282688872,13.5,this work
95.019392144793,10.2639009820219,nan,2017.1.00395.S,243,27,43.5,Lu et al. 2017
nan,nan,nan,no,,,,
nan,nan,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
280.407886557875,48.9601071767719,43.5,Lu et al. 2017,,,,
408.248789585993,26.7078647392705,43.5,Lu et al. 2017,,,,
424.027043339744,43.4043430190289,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
416.77794577598,32.0598419827677,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
184.840629984817,31.1779375878005,43.5,Lu et al. 2017,,,,
429.707653580354,28.7842447374399,43.5,Lu et al. 2017,,,,
