CO,error,beam,ref,CI,error,beam,ref
752,75.7,43.5,9,2849.49223283688,140.256366448288,13.5,this work
1910,193,43.5,9,2423,30,43.5,Lu et al. 2017
2848.49508028795,319.284133365984,20.8,O-084.F-9306A-2009,,,,
3683.67778728383,218.635552122961,43.5,Lu et al. 2017,,,,
3466.57478965026,90.1097422386154,43.5,Lu et al. 2017,,,,
2919.91807393839,35.3394018025826,43.5,Lu et al. 2017,,,,
2033.4567791018,30.2935833013304,43.5,Lu et al. 2017,,,,
1242.62656734185,43.0777210011842,43.5,Lu et al. 2017,,,,
813.040040889001,53.0243504927609,43.5,Lu et al. 2017,,,,
434.854042405235,39.7732355858447,43.5,Lu et al. 2017,,,,
233.849236125176,36.1622530090479,43.5,Lu et al. 2017,,,,
185.659922954362,30.9433204923937,43.5,Lu et al. 2017,,,,
