CO,error,beam,ref,CI,error,beam,ref
1322.0,339.37137567125484,43.5,Kamenetzky et al. 2016,3540.0,405.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,4560.0,175.0,43.5,Kamenetzky et al. 2016
13200.0,1495.2529050297812,43.5,Kamenetzky et al. 2016,,,,
8490.0,505.0,43.5,Kamenetzky et al. 2016,,,,
9540.0,400.0,43.5,Kamenetzky et al. 2016,,,,
7260.0,225.0,43.5,Kamenetzky et al. 2016,,,,
4460.0,165.0,43.5,Kamenetzky et al. 2016,,,,
3020.0,220.0,43.5,Kamenetzky et al. 2016,,,,
nan,2670.0,43.5,Kamenetzky et al. 2016,,,,
1180.0,348.0,43.5,Kamenetzky et al. 2016,,,,
848.0,299.0,43.5,Kamenetzky et al. 2016,,,,
nan,1340.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
