CO,error,beam,ref,CI,error,beam,ref
100,20.2,43.5,4,119.687972484896,133.498146228504,13.5,this work
246,44.7,43.5,5,365,30,43.5,Lu et al. 2017
517,99,43.5,5,,,,
nan,nan,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
577.585788824861,52.9086218770864,43.5,Lu et al. 2017,,,,
306.141126376001,26.4566405510124,43.5,Lu et al. 2017,,,,
267.89856194112,59.5330137646934,43.5,Lu et al. 2017,,,,
311.662617827694,47.0434140117275,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
264.687177660069,40.9062001838289,43.5,Lu et al. 2017,,,,
