CO,error,beam,ref,CI,error,beam,ref
1852.0,148.96442561900474,43.5,Kamenetzky et al. 2016,3710.0,265.0,43.5,Kamenetzky et al. 2016
3280.0,962.7939810779874,43.5,Kamenetzky et al. 2016,4630.0,140.0,43.5,Kamenetzky et al. 2016
20600.0,1030.0,43.5,Kamenetzky et al. 2016,,,,
7950.0,290.0,43.5,Kamenetzky et al. 2016,,,,
7540.0,200.0,43.5,Kamenetzky et al. 2016,,,,
5860.0,120.0,43.5,Kamenetzky et al. 2016,,,,
3710.0,140.0,43.5,Kamenetzky et al. 2016,,,,
3560.0,330.0,43.5,Kamenetzky et al. 2016,,,,
1630.0,340.0,43.5,Kamenetzky et al. 2016,,,,
977.0,220.0,43.5,Kamenetzky et al. 2016,,,,
nan,1080.0,43.5,Kamenetzky et al. 2016,,,,
nan,955.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
