CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,504.0,291.5,43.5,Kamenetzky et al. 2016
2140.0,161.0,43.5,Kamenetzky et al. 2016,729.0,98.5,43.5,Kamenetzky et al. 2016
2830.0,214.5,43.5,Kamenetzky et al. 2016,,,,
1500.0,375.0,43.5,Kamenetzky et al. 2016,,,,
1090.0,177.5,43.5,Kamenetzky et al. 2016,,,,
543.0,120.5,43.5,Kamenetzky et al. 2016,,,,
489.0,98.5,43.5,Kamenetzky et al. 2016,,,,
520.0,157.5,43.5,Kamenetzky et al. 2016,,,,
nan,996.0,43.5,Kamenetzky et al. 2016,,,,
nan,688.0,43.5,Kamenetzky et al. 2016,,,,
nan,772.0,43.5,Kamenetzky et al. 2016,,,,
504.0,212.5,43.5,Kamenetzky et al. 2016,,,,
nan,755.0,43.5,Kamenetzky et al. 2016,,,,
