CO,error,beam,ref,HCN,error,beam,ref,CS,error,beam,ref,13CO,error,beam,ref,CI,error,beam,ref
194,16,40,http://arxiv.org/abs/1404.6090,6.2,0.9,40,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,nan,nan,nan,http://arxiv.org/abs/1404.6090,636,146,40,http://arxiv.org/abs/1404.6090
850,130,40,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,nan,2.1,40,http://arxiv.org/abs/1404.6090,26,4,40,http://arxiv.org/abs/1404.6090,1660,43,40,http://arxiv.org/abs/1404.6090
1294,171,40,http://arxiv.org/abs/1404.6090,12.3,2.4,40,http://arxiv.org/abs/1404.6090,nan,3,40,http://arxiv.org/abs/1404.6090,,,,,,,,
1603,266,40,http://arxiv.org/abs/1404.6090,nan,10,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,
1366,143,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
1369,62,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
1178,38,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
1036,46,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
844,78,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
662,26,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
371,56,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
282,32,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
126,35,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,
