CO,error,beam,ref,CI,error,beam,ref
451.14285714285717,61.704615644510206,43.5,Kamenetzky et al. 2016,1360.0,260.0,43.5,Kamenetzky et al. 2016
1170.3333333333333,231.30413840751842,43.5,Kamenetzky et al. 2016,1490.0,130.0,43.5,Kamenetzky et al. 2016
2690.0,515.3895711013174,43.5,Kamenetzky et al. 2016,,,,
3230.0,360.0,43.5,Kamenetzky et al. 2016,,,,
3130.0,195.0,43.5,Kamenetzky et al. 2016,,,,
3390.0,185.0,43.5,Kamenetzky et al. 2016,,,,
2890.0,140.0,43.5,Kamenetzky et al. 2016,,,,
3560.0,535.0,43.5,Kamenetzky et al. 2016,,,,
2310.0,275.0,43.5,Kamenetzky et al. 2016,,,,
2080.0,290.0,43.5,Kamenetzky et al. 2016,,,,
1050.0,175.5,43.5,Kamenetzky et al. 2016,,,,
nan,1290.0,43.5,Kamenetzky et al. 2016,,,,
nan,1060.0,43.5,Kamenetzky et al. 2016,,,,
