CO,error,beam,ref,CI,error,beam,ref
505.75,107.60481155018117,43.5,Kamenetzky et al. 2016,1340.0,235.0,43.5,Kamenetzky et al. 2016
1710.0,197.62668229658556,43.5,Kamenetzky et al. 2016,2340.0,95.0,43.5,Kamenetzky et al. 2016
4815.0,1100.8457686024867,43.5,Kamenetzky et al. 2016,,,,
5130.0,280.0,43.5,Kamenetzky et al. 2016,,,,
4850.0,180.0,43.5,Kamenetzky et al. 2016,,,,
4710.0,100.0,43.5,Kamenetzky et al. 2016,,,,
3970.0,100.0,43.5,Kamenetzky et al. 2016,,,,
3700.0,115.0,43.5,Kamenetzky et al. 2016,,,,
3170.0,170.0,43.5,Kamenetzky et al. 2016,,,,
2880.0,145.0,43.5,Kamenetzky et al. 2016,,,,
2220.0,130.0,43.5,Kamenetzky et al. 2016,,,,
1800.0,130.0,43.5,Kamenetzky et al. 2016,,,,
1560.0,155.0,43.5,Kamenetzky et al. 2016,,,,
