CO,error,beam,ref,CI,error,beam,ref
410.3333333333333,75.338462214787,43.5,Kamenetzky et al. 2016,2090.0,415.0,43.5,Kamenetzky et al. 2016
1685.0,83.6211695684771,43.5,Kamenetzky et al. 2016,2070.0,105.0,43.5,Kamenetzky et al. 2016
5352.5,692.820785358667,43.5,Kamenetzky et al. 2016,,,,
5910.0,465.0,43.5,Kamenetzky et al. 2016,,,,
5220.0,305.0,43.5,Kamenetzky et al. 2016,,,,
4510.0,165.0,43.5,Kamenetzky et al. 2016,,,,
3130.0,110.0,43.5,Kamenetzky et al. 2016,,,,
2620.0,140.0,43.5,Kamenetzky et al. 2016,,,,
1660.0,215.0,43.5,Kamenetzky et al. 2016,,,,
1600.0,210.0,43.5,Kamenetzky et al. 2016,,,,
1350.0,165.0,43.5,Kamenetzky et al. 2016,,,,
1110.0,144.5,43.5,Kamenetzky et al. 2016,,,,
1020.0,196.0,43.5,Kamenetzky et al. 2016,,,,
