CO,error,beam,ref,CI,error,beam,ref
404.0,76.68661696947012,43.5,Kamenetzky et al. 2016,2010.0,415.0,43.5,Kamenetzky et al. 2016
1430.0,136.96943089609448,43.5,Kamenetzky et al. 2016,1990.0,100.0,43.5,Kamenetzky et al. 2016
5162.5,734.7484794982566,43.5,Kamenetzky et al. 2016,,,,
5710.0,435.0,43.5,Kamenetzky et al. 2016,,,,
5650.0,275.0,43.5,Kamenetzky et al. 2016,,,,
4220.0,160.0,43.5,Kamenetzky et al. 2016,,,,
3030.0,100.0,43.5,Kamenetzky et al. 2016,,,,
2720.0,145.0,43.5,Kamenetzky et al. 2016,,,,
1680.0,175.0,43.5,Kamenetzky et al. 2016,,,,
1390.0,150.0,43.5,Kamenetzky et al. 2016,,,,
1140.0,152.5,43.5,Kamenetzky et al. 2016,,,,
774.0,140.5,43.5,Kamenetzky et al. 2016,,,,
499.0,172.0,43.5,Kamenetzky et al. 2016,,,,
