CO,error,beam,ref,CI,error,beam,ref
68.05,6.953068117744855,43.5,Kamenetzky et al. 2016,728.0,233.0,43.5,Kamenetzky et al. 2016
586.0,46.4,43.5,Kamenetzky et al. 2016,408.0,51.5,43.5,Kamenetzky et al. 2016
730.0,88.48979853318939,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
764.0,181.5,43.5,Kamenetzky et al. 2016,,,,
569.0,73.5,43.5,Kamenetzky et al. 2016,,,,
338.0,50.5,43.5,Kamenetzky et al. 2016,,,,
242.0,53.5,43.5,Kamenetzky et al. 2016,,,,
nan,223.0,43.5,Kamenetzky et al. 2016,,,,
nan,205.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
110.0,37.65,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
