CO,error,beam,ref,CI,error,beam,ref
79.43,4.69,15,Yamashita et al. 2017,382.855152814144,71.934344820856,13.5,this work
269,44,43.5,5,321,23,43.5,Lu et al. 2017
509,83.8,43.5,5,,,,
nan,nan,43.5,Lu et al. 2017,,,,
628.11572264358,69.7906358492867,43.5,Lu et al. 2017,,,,
487.670720547401,26.8442598466459,43.5,Lu et al. 2017,,,,
410.369820922861,23.0113918274501,43.5,Lu et al. 2017,,,,
459.791470847909,26.8491369838195,43.5,Lu et al. 2017,,,,
226.750065632216,38.7861954370897,43.5,Lu et al. 2017,,,,
161.132034544739,26.8553390907898,43.5,Lu et al. 2017,,,,
256.38020899413,24.4171627613457,43.5,Lu et al. 2017,,,,
