CO,error,beam,ref,CI,error,beam,ref
1465.0,85.04006408746409,43.5,Kamenetzky et al. 2016,4040.0,215.0,43.5,Kamenetzky et al. 2016
2970.0,210.0,43.5,Kamenetzky et al. 2016,9500.0,150.0,43.5,Kamenetzky et al. 2016
11800.0,1360.0,43.5,Kamenetzky et al. 2016,,,,
4230.0,265.0,43.5,Kamenetzky et al. 2016,,,,
3900.0,190.0,43.5,Kamenetzky et al. 2016,,,,
2610.0,115.0,43.5,Kamenetzky et al. 2016,,,,
1550.0,130.0,43.5,Kamenetzky et al. 2016,,,,
1280.0,235.0,43.5,Kamenetzky et al. 2016,,,,
nan,1740.0,43.5,Kamenetzky et al. 2016,,,,
nan,970.0,43.5,Kamenetzky et al. 2016,,,,
nan,735.0,43.5,Kamenetzky et al. 2016,,,,
nan,760.0,43.5,Kamenetzky et al. 2016,,,,
nan,1670.0,43.5,Kamenetzky et al. 2016,,,,
