CO,error,beam,ref,CI,error,beam,ref
205.5,17.274981910265492,43.5,Kamenetzky et al. 2016,937.0,231.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,850.0,66.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
2580.0,285.0,43.5,Kamenetzky et al. 2016,,,,
1990.0,150.0,43.5,Kamenetzky et al. 2016,,,,
1820.0,80.0,43.5,Kamenetzky et al. 2016,,,,
1230.0,60.0,43.5,Kamenetzky et al. 2016,,,,
811.0,79.5,43.5,Kamenetzky et al. 2016,,,,
801.0,96.0,43.5,Kamenetzky et al. 2016,,,,
757.0,76.5,43.5,Kamenetzky et al. 2016,,,,
336.0,73.0,43.5,Kamenetzky et al. 2016,,,,
256.0,56.5,43.5,Kamenetzky et al. 2016,,,,
nan,353.0,43.5,Kamenetzky et al. 2016,,,,
