CO,error,beam,ref,CI,error,beam,ref
156.0,15.655669899432603,43.5,Kamenetzky et al. 2016,820.0,250.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,429.0,34.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1090.0,145.0,43.5,Kamenetzky et al. 2016,,,,
551.0,72.5,43.5,Kamenetzky et al. 2016,,,,
288.0,33.5,43.5,Kamenetzky et al. 2016,,,,
162.0,35.5,43.5,Kamenetzky et al. 2016,,,,
nan,234.0,43.5,Kamenetzky et al. 2016,,,,
nan,175.0,43.5,Kamenetzky et al. 2016,,,,
nan,150.0,43.5,Kamenetzky et al. 2016,,,,
nan,120.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
