CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1200.0,643.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,1000.0,128.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1880.0,770.0,43.5,Kamenetzky et al. 2016,,,,
1490.0,385.0,43.5,Kamenetzky et al. 2016,,,,
1150.0,181.5,43.5,Kamenetzky et al. 2016,,,,
661.0,122.5,43.5,Kamenetzky et al. 2016,,,,
nan,771.0,43.5,Kamenetzky et al. 2016,,,,
nan,533.0,43.5,Kamenetzky et al. 2016,,,,
nan,538.0,43.5,Kamenetzky et al. 2016,,,,
nan,378.0,43.5,Kamenetzky et al. 2016,,,,
362.0,118.0,43.5,Kamenetzky et al. 2016,,,,
nan,439.0,43.5,Kamenetzky et al. 2016,,,,
