CO,error,beam,ref,CI,error,beam,ref
24.5,2.45,43.5,Kamenetzky et al. 2016,1010.0,230.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,168.0,47.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
425.0,184.0,43.5,Kamenetzky et al. 2016,,,,
273.0,91.0,43.5,Kamenetzky et al. 2016,,,,
411.0,46.0,43.5,Kamenetzky et al. 2016,,,,
234.0,51.0,43.5,Kamenetzky et al. 2016,,,,
nan,464.0,43.5,Kamenetzky et al. 2016,,,,
123.0,64.6,43.5,Kamenetzky et al. 2016,,,,
140.0,64.45,43.5,Kamenetzky et al. 2016,,,,
131.0,48.95,43.5,Kamenetzky et al. 2016,,,,
110.0,49.2,43.5,Kamenetzky et al. 2016,,,,
