CO,error,beam,ref,CI,error,beam,ref
54.42,17.241291279947685,43.5,Kamenetzky et al. 2016,nan,772.0,43.5,Kamenetzky et al. 2016
130.0,14.6990645960891,43.5,Kamenetzky et al. 2016,211.0,49.0,43.5,Kamenetzky et al. 2016
256.0,26.31805463935357,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,599.0,43.5,Kamenetzky et al. 2016,,,,
375.0,73.0,43.5,Kamenetzky et al. 2016,,,,
298.0,52.5,43.5,Kamenetzky et al. 2016,,,,
388.0,51.5,43.5,Kamenetzky et al. 2016,,,,
227.0,40.5,43.5,Kamenetzky et al. 2016,,,,
259.0,34.0,43.5,Kamenetzky et al. 2016,,,,
162.0,30.0,43.5,Kamenetzky et al. 2016,,,,
146.0,26.5,43.5,Kamenetzky et al. 2016,,,,
140.0,25.5,43.5,Kamenetzky et al. 2016,,,,
