CO,error,beam,ref,CI,error,beam,ref
nan,nan,nan,no,404.540261160104,52.1833670036328,13.5,this work
153,17.3,nan,Pereira-Santaella et al. 2021,515,24,43.5,Lu et al. 2017
417.99409893307,137.737371223751,20.8,this work,,,,
nan,nan,43.5,Lu et al. 2017,,,,
832.978046013168,71.7133417097429,43.5,Lu et al. 2017,,,,
795.333163661305,36.7784121924302,43.5,Lu et al. 2017,,,,
744.82843200376,23.6453470477384,43.5,Lu et al. 2017,,,,
617.299861927343,24.1402180641978,43.5,Lu et al. 2017,,,,
524.24312615001,39.8547405845037,43.5,Lu et al. 2017,,,,
333.901842771633,24.8356742557413,43.5,Lu et al. 2017,,,,
275.988310883853,22.580861799588,43.5,Lu et al. 2017,,,,
197.820417024506,20.7021366653553,43.5,Lu et al. 2017,,,,
