CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1010.0,392.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,307.0,65.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,2010.0,43.5,Kamenetzky et al. 2016,,,,
nan,976.0,43.5,Kamenetzky et al. 2016,,,,
nan,488.0,43.5,Kamenetzky et al. 2016,,,,
nan,178.0,43.5,Kamenetzky et al. 2016,,,,
nan,238.0,43.5,Kamenetzky et al. 2016,,,,
nan,427.0,43.5,Kamenetzky et al. 2016,,,,
nan,390.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,416.0,43.5,Kamenetzky et al. 2016,,,,
nan,527.0,43.5,Kamenetzky et al. 2016,,,,
