CO,error,beam,ref,CI,error,beam,ref
288.0,23.0,43.5,Kamenetzky et al. 2016,824.0,420.0,43.5,Kamenetzky et al. 2016
1320.0,100.0,43.5,Kamenetzky et al. 2016,1030.0,93.0,43.5,Kamenetzky et al. 2016
1330.0,100.5,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1640.0,290.0,43.5,Kamenetzky et al. 2016,,,,
1180.0,130.0,43.5,Kamenetzky et al. 2016,,,,
802.0,92.0,43.5,Kamenetzky et al. 2016,,,,
596.0,122.0,43.5,Kamenetzky et al. 2016,,,,
565.0,138.5,43.5,Kamenetzky et al. 2016,,,,
304.0,100.0,43.5,Kamenetzky et al. 2016,,,,
nan,435.0,43.5,Kamenetzky et al. 2016,,,,
nan,261.0,43.5,Kamenetzky et al. 2016,,,,
nan,379.0,43.5,Kamenetzky et al. 2016,,,,
