CO,error,beam,ref,CI,error,beam,ref
59.4,11.9,43.5,6,832.42583141224,84.377203405248,13.5,this work
577,88.9,43.5,5,895,15,43.5,Lu et al. 2017
1490,229,43.5,5,,,,
1530.89980149222,112.663621754839,43.5,Lu et al. 2017,,,,
1224.7931507296,47.7192136647897,43.5,Lu et al. 2017,,,,
1113.51915119003,22.0936339521832,43.5,Lu et al. 2017,,,,
810.592118564269,15.1512545526031,43.5,Lu et al. 2017,,,,
619.839025920194,19.8878831846051,43.5,Lu et al. 2017,,,,
500.93308557521,23.5733216741275,43.5,Lu et al. 2017,,,,
249.319048240997,21.2186424034891,43.5,Lu et al. 2017,,,,
202.568284674683,21.7037447865732,43.5,Lu et al. 2017,,,,
139.285969816652,15.4762188685169,43.5,Lu et al. 2017,,,,
112.263083766889,18.3703227982183,43.5,Lu et al. 2017,,,,
