CO,error,beam,ref,CI,error,beam,ref
175,35,43.5,16,564.158433065568,88.811979629224,13.5,this work
471,118,43.5,1,845,30,43.5,Lu et al. 2017
1344.89299108253,153.809392903745,20.8,this work,,,,
1696.85697536577,232.901937795302,43.5,Lu et al. 2017,,,,
1128.64380169774,111.799621866285,43.5,Lu et al. 2017,,,,
878.481481682983,44.3677516001506,43.5,Lu et al. 2017,,,,
665.574880518755,26.6229952207502,43.5,Lu et al. 2017,,,,
479.258774485223,56.5791608767278,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
284.958525697969,42.6106206651169,43.5,Lu et al. 2017,,,,
