CO,error,beam,ref,CI,error,beam,ref
2022.0,140.39768516610235,43.5,Kamenetzky et al. 2016,4160.0,290.0,43.5,Kamenetzky et al. 2016
4220.0,1243.0998552006995,43.5,Kamenetzky et al. 2016,4780.0,105.0,43.5,Kamenetzky et al. 2016
12100.0,600.0,43.5,Kamenetzky et al. 2016,,,,
9100.0,410.0,43.5,Kamenetzky et al. 2016,,,,
8370.0,220.0,43.5,Kamenetzky et al. 2016,,,,
6080.0,110.0,43.5,Kamenetzky et al. 2016,,,,
3800.0,105.0,43.5,Kamenetzky et al. 2016,,,,
2980.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1620.0,240.0,43.5,Kamenetzky et al. 2016,,,,
nan,1080.0,43.5,Kamenetzky et al. 2016,,,,
680.0,138.5,43.5,Kamenetzky et al. 2016,,,,
nan,781.0,43.5,Kamenetzky et al. 2016,,,,
nan,946.0,43.5,Kamenetzky et al. 2016,,,,
